id_rapport,cuve_journaliere,cuve_principale,groupe,quantite_cuve_principale,quantite_cuve_journaliere,depotage,compteur_horaire,etat_fonctionnement,observations
2,CJ026,CP024,G26-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,HS,GE lister Peter Vétuste en arrêt
2,CJ027,CP025,G27-no name-22,0.0,0.0,0.0,0.0,F,GES DEPLOYE A NEW BELL MAGASIN
2,CJ028,CP026,G28-HUAWEI-23,800.0,0.0,0.0,1231.0,F,RAS
2,CJ029,CP027,G29-LIONROCK-18,600.0,0.0,0.0,4211.0,P,Cuve journalière: XXX L
2,CJ030,CP028,G30-LIONROCK-27,154.0,0.0,0.0,745.0,F,RAS
2,CJ031,CP030,G31-CUMMINS-500,1250.0,0.0,0.0,335.0,F,RAS
2,CJ032,CP030,G32-CUMMINS-500,1250.0,0.0,0.0,0.0,HS,GES Hors service (défaut carte de contrôle)
2,CJ033,CP029,G33-KHOLERR-0,0.0,0.0,0.0,601.0,NC,état non renseigné (²) ; Cuve principale: Aucun baremage sur la cuve
3,CJ001,CP001,G1-SDMO-830,22462.0,1000.0,15166.0,1877.0,F,Ravitaillement de 15 166 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
3,CJ002,CP002,G2-SDMO-650,4520.0,1000.0,3087.0,1014.0,F,Ravitaillement de 3087 Litres de carburant de la livraison de 25 000 Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
3,CJ003,CP002,G3-DEUTZ-450,4520.0,1000.0,3087.0,7162.0,F,Ravitaillement de 3087 Litres de carburant de la livraison de 25 000 Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
3,CJ004,CP003,G4-AKSA-493,4032.0,588.0,2232.0,1283.0,F,Ravitaillement de 2232 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026 | .
3,CJ005,CP004,G5-LEROY SOMMER-110,2161.0,1000.0,0.0,1185.0,F,Défaut d’inclinaison de la cuve Principale impossible de jauger dans ces conditions
3,CJ006,CP004,G6-DEUTZ-185,2161.0,1000.0,0.0,8982.0,HS,Défaut d’inclinaison de la cuve Principale impossible de jauger dans ces conditions
3,CJ007,CP005,G7-AKSA-220,4251.0,1000.0,2314.0,6725.0,F,Ravitaillement de 2314 Litres de carburant de la livraison de 25 OOO Litres fournit par le Marqueteur NEPTUNE OUIL en date du 15/07/2026
3,CJ008,CP006,G8-DEUTZ-350,3084.0,1000.0,0.0,5336.0,F,RAS
3,CJ009,CP007,G9-AKSA-110,530.0,192.0,0.0,4059.0,F,RAS
3,CJ010,CP008,G10-SDMO-33,2250.0,0.0,0.0,4038.0,F,RAS
3,CJ011,CP009,G11-LIONROCK-18,1000.0,0.0,0.0,1954.0,F,; Jauge sale ; Pupitre de lecture floue
3,CJ012,CP010,G12-LIONROCK-18,320.0,0.0,0.0,1644.0,P,EN ARRET
3,CJ013,CP011,G13-LIONROCK-18,320.0,0.0,0.0,1974.0,F,RAS
3,CJ014,CP012,G14-HUAWEI-23,530.0,0.0,0.0,19.0,F,RAS
3,CJ015,CP013,G15-LIONROCK-18,650.0,0.0,0.0,1164.0,P,Batterie HS ; Pas de chargeur batterie ;
3,CJ016,CP014,G16-HUAWEI-23,750.0,0.0,0.0,73.0,F,GES en défaut (en arrêt pour le moment
3,CJ017,CP015,G17-LIONROCK-18,600.0,0.0,0.0,1626.0,F,RAS
3,CJ018,CP016,G18-ONIS VISA-22,500.0,0.0,0.0,896.0,F,RAS
3,CJ019,CP017,G19-SDMO-22,710.0,0.0,0.0,0.0,P,Compteur horaire Illisible sur le contrôleur du GES
3,CJ020,CP018,G20-LIONROCK-18,900.0,0.0,0.0,663.0,F,"PAS D’INVERSSEUR de Sources, GES A L’ARRET"
3,CJ021,CP019,G21-LIONROCK-18,970.0,0.0,0.0,2139.0,P,RAS
